Num. Nodes,Num. Parallel Edges,Num. Src/Sinks,Min. Target Flow,Optimal MILP Value,Relaxed LP Value,ACO 1,ACO 2,ACO 3,ACO 4,ACO 5,ACO 6,ACO 7,ACO 8,ACO 9,ACO 10,Avg. ACO Value,Optimality Gap
120,1,1,100,111133.1072,111133.0002,111133.1072,111133.1072,111133.1072,111133.1072,111133.1072,111133.1072,111133.1072,111133.1072,111133.1072,111133.1072,111133.1072,0.00
333,1,1,100,210427.0149,210533.745,276636.9447,245759.2036,246577.8163,283568.4965,222268.2568,274019.5582,265487.299,275182.6929,263380.5491,247001.6249,259988.2442,23.55
344,1,1,100,136667.34,136667.3413,203564.8804,214167.3501,229824.243,188880.2998,239912.6843,247191.2406,182057.9715,204456.41,216777.3207,216167.1655,214299.9566,56.80
305,1,1,100,150417.4141,150417.4142,161838.8103,151646.8212,173281.1663,161935.4384,171756.7569,160333.5154,151646.8212,160734.3379,171179.0723,169455.0021,163380.7742,8.62
306,1,10,1000,661008.3434,663594.4874,1166585.754,1122164.987,1134232.991,1190886.194,1158140.902,1140416.209,1157663.887,1027514.989,1198170.073,1170864.864,1146664.085,73.47
100,1,1,100,140850.2839,140850.2394,161196.3744,150196.4823,153072.2959,150570.0227,159387.3782,150196.4823,162586.7398,151465.6315,151465.6315,145163.4111,153530.045,9.00
32,1,5,500,331651.7235,333460.6184,392924.2258,388022.6626,392535.5489,387954.6116,389891.2447,384655.0691,392455.1298,391995.6907,390144.8675,388840.3161,389941.9367,17.58
309,1,1,100,107701.499,107701.4727,107701.499,107701.499,107701.499,107701.499,107701.499,107701.499,107701.499,107701.499,107701.499,107701.499,107701.499,0.00
337,1,10,1000,764092.2803,766496.6476,1249198.436,1312288.23,1343150.395,1286976.066,1299810.227,1276119.506,1214368.014,1265434.774,1259182.843,1260675.125,1276720.362,67.09
157,1,1,100,98656.6897,98656.686,98656.6897,98656.6897,98656.6897,98656.6897,98656.6897,98656.6897,98656.6897,98656.6897,98656.6897,98656.6897,98656.6897,0.00
393,1,1,100,166878.6006,166878.3006,197421.2454,211453.3875,200168.5204,197328.4408,210647.7438,210316.6761,198054.8327,217861.2606,198340.5966,198281.2865,203987.399,22.24
303,1,5,500,433876.5028,433947.3511,576929.8812,587024.5762,584746.2162,583386.3745,622299.6056,580370.7389,604549.1985,611740.631,599247.279,577520.1227,592781.4624,36.62
259,1,10,1000,748558.4807,752914.8506,1051624.13,1064771.672,1060572.3,1051668.526,1047249.7,1056517.037,1067178.836,1046982.424,1059800.438,1077598.896,1058396.396,41.39
323,1,1,100,187766.5352,187766.5009,231636.6841,202760.2876,222927.5564,234643.0364,213704.16,214878.0102,223253.5864,206455.1591,235962.1192,231888.8176,221810.9417,18.13
307,1,5,500,424738.7092,425733.5968,1126048.076,1161807.396,1059557.321,1141190.516,1132509.187,1140681.856,1125175.117,1109034.939,1118773.81,1140690.983,1125546.92,165.00
354,1,5,500,629812.7477,631582.7349,1135652.77,1149942.944,1188990.691,1169695.787,1173828.358,1168045.655,1220581.89,1212983.655,1079829.008,1227203.726,1172675.449,86.19
265,1,1,100,192507.7329,192695.0474,232671.8658,264805.5245,233491.2973,244344.7502,231805.6894,241549.9136,272162.9013,225887.4372,238280.546,256431.8708,244143.1796,26.82
284,1,5,500,587531.8458,596100.1479,1037216.947,957274.4012,1072278.934,1086655.189,1101980.383,1087439.968,1124957.775,1037025.987,1103338.036,1096012.939,1070418.056,82.19
119,1,5,500,391537.3398,391538.0569,497886.6055,517647.3569,505992.6304,459915.216,476934.7031,541095.1354,469358.4239,533158.9066,548078.088,550639.6484,510070.6714,30.27
52,1,5,500,379436.8928,381440.7655,448967.6707,433662.7192,434142.141,453697.3992,447477.9967,440887.4163,452821.3577,466098.8702,445439.7162,460453.0518,448364.8339,18.17
37,1,5,500,393346.9006,393902.6125,436210.4509,415983.3024,452506.7828,427002.2065,443184.9436,426513.3708,449579.7521,440471.7319,445303.1132,434228.071,437098.3725,11.12
306,1,1,100,167102.1013,167813.2662,226015.8468,228692.4687,239882.6172,228097.5013,209475.6814,203258.5824,195954.8516,213003.0293,213524.0842,226409.6177,218431.4281,30.72
45,1,5,500,367796.9386,367796.7411,481973.0618,490986.5777,504208.3265,473656.7167,478470.7283,518024.2906,487524.0541,503407.5332,478106.667,500857.9116,491721.5868,33.69
173,1,1,100,129829.6629,129829.663,179764.6143,159431.3531,175988.8517,184829.3114,189626.3293,161852.0077,169916.877,160636.9122,169916.877,181331.6229,173329.4757,33.51
58,1,5,500,386491.5825,388354.5487,457658.8447,458198.6041,465183.4575,457082.4061,443346.9087,465071.9862,456411.5551,456520.8965,449701.405,450776.8301,455995.2894,17.98
103,1,5,500,363867.1572,365646.5045,490112.6771,475493.9923,463702.455,479495.7227,480222.2124,491300.9053,482732.5718,478780.0801,509089.3411,488697.752,483962.771,33.01
311,1,1,100,134862.8121,134862.8121,153561.9628,155053.2922,152141.9974,167116.9827,157097.7093,143228.5136,145045.0945,154277.1745,152525.3986,160996.8087,154104.4934,14.27
284,1,5,500,653565.3485,654872.4838,1362130.466,1389154.826,1392084.667,1422026.373,1341393.756,1354367.667,1368272.231,1371343.137,1317462.026,1231881.069,1355011.622,107.33
242,1,10,1000,721385.2223,722347.8413,1023136.893,1027446.745,1063400.451,1057310.175,1090408.161,1037051.695,1044432.916,1039921.785,1032146.187,1044235.231,1045949.024,44.99
52,1,5,500,335437.5237,341977.1371,359850.4414,365999.9875,360104.4566,357044.7313,362666.6694,365653.9584,352089.7382,366690.9089,358114.9025,365653.9584,361386.9752,7.74
308,1,5,500,616493.6288,618261.5063,1269370.331,1173796.592,1141428.665,1168896.495,1175053.365,1226734.445,1192058.304,1142987.572,1160491.774,1275433.899,1192625.144,93.45
226,1,1,100,180506.0963,180506.1051,242383.8789,261233.1332,221424.6723,266716.4332,246922.6551,254573.7466,247660.1376,261302.9868,266841.6416,275177.7107,254423.6996,40.95
333,1,1,100,127354.1247,127354.1258,127354.1247,129173.7376,129529.1489,128668.1985,137659.1824,128668.1985,127354.1247,128668.1985,128016.7211,127354.1247,129244.5759,1.48
297,1,1,100,127233.9452,127621.1064,150278.2819,147725.718,149596.8306,137945.1821,149293.1532,127620.9053,127383.2689,147974.0517,138930.5972,148430.679,142517.8668,12.01
212,1,5,500,356927.4454,359091.4563,444464.1494,475441.8333,437574.9593,465549.4311,450772.9477,448699.0086,430642.1629,445288.9844,422897.9216,397566.8575,441889.8256,23.80
256,1,5,500,536320.0272,538538.8951,1030019.878,1020634.4,1090421.896,936562.1622,1075238.01,1128257.092,1021045.213,1037870.447,973743.91,1122859.59,1043665.26,94.60
203,1,1,100,85120.11445,85119.94735,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,85120.11445,0.00
239,1,1,100,78567.71441,78959.95721,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,78567.71441,0.00
173,1,1,100,87089.70714,87249.12106,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,87089.70714,0.00
285,1,10,1000,747174.1086,752792.2995,1333363.795,1337323.156,1355996.665,1296996.063,1329918.942,1366591.708,1346631.338,1326751.186,1368943.915,1381381.387,1344389.816,79.93
66,1,5,500,339136.624,340209.8624,464689.9426,435240.4174,442820.8642,414515.603,430703.4514,429471.315,417671.2,422203.0232,457200.0764,453006.8188,436752.2712,28.78
55,1,5,500,343119.7842,343119.3209,362111.1662,385073.1452,387062.2417,381290.5407,400612.3705,412429.5465,388398.5079,381751.7385,404264.2649,414084.2582,391707.778,14.16
332,1,5,500,496781.5096,497244.5176,858845.685,897811.3836,846043.8411,859958.04,928312.9126,845032.2751,920738.3593,968166.9646,910883.4593,857994.0359,889378.6957,79.03
99,1,10,1000,630583.8253,631014.6982,871610.2599,900838.9444,893066.9891,873397.7369,896813.2229,893136.3615,901597.1934,917981.1401,872308.455,887443.4671,890819.377,41.27
369,1,1,100,93551.51164,93551.25907,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,93551.51164,0.00
65,1,1,100,83899.28509,83899.28523,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,83899.28509,0.00
196,1,1,100,132220.2534,132761.0475,132650.0104,132650.0104,145412.185,132650.0104,132650.0104,135275.3312,132650.0104,142547.6166,141577.0649,142117.8596,137018.0109,3.63
347,1,5,500,390721.1123,391438.0777,720824.1472,702174.3433,686713.6424,764007.0752,811574.644,765673.4596,687474.0748,754793.9663,762056.2545,727820.1682,738311.1776,88.96
328,1,5,500,401957.6248,402005.1089,639938.6981,640603.3969,629141.9871,614715.4479,624147.351,544869.8002,554167.8665,625338.2165,632141.3198,605870.451,611093.4535,52.03
115,1,10,1000,733651.7895,736886.3765,928052.9448,901440.6754,949153.7048,901932.8456,875893.7371,901214.7059,934005.5897,957910.5421,913286.4615,909098.7665,917198.9973,25.02
171,1,5,500,400509.8047,401058.469,635627.2323,620811.9487,596898.2697,583256.232,556447.6367,592001.5598,582987.7046,582654.865,583629.9131,597672.4688,593198.7831,48.11
