EXPERIMENTAL RESULTS OUTPUT,24/04/2022 19:31:43,,,,,,,,,,,,,,,,
Num. Nodes,Num. Parallel Edges,Num. Src/Sinks,Min. Target Flow,Optimal MILP Value,Relaxed LP Value,ACO 1,ACO 2,ACO 3,ACO 4,ACO 5,ACO 6,ACO 7,ACO 8,ACO 9,ACO 10,Avg. ACO Value,Optimality Gap
25,1,1,100,90490.8544,90490.8601,90490.8544,90490.8544,90490.8544,90490.8544,90490.8544,90490.8544,90490.8544,90490.8544,90490.8544,90490.8544,90490.8544,0
25,1,5,500,353627.4594,354420.7093,426557.2438,425296.5166,421678.3211,434568.599,412215.0139,410569.3171,429204.4622,419711.4622,426435.3937,414722.2311,422095.8561,19.36173079
25,1,10,1000,627824.4069,633501.157,664155.4491,664329.2198,673075.8321,676317.432,651119.9489,667048.7368,662050.6303,667903.8833,667978.108,671381.3146,666536.0555,6.16599931
50,1,1,100,92995.87941,93524.05068,92995.87941,92995.87941,92995.87941,92995.87941,92995.87941,92995.87941,92995.87941,92995.87941,92995.87941,92995.87941,92995.87941,0
50,1,5,500,330650.6695,332756.8936,358149.4592,357694.3701,357087.1293,358148.6075,360895.2955,356795.1134,359210.9374,359010.7077,359010.7077,358148.6075,358415.0935,8.39690544
50,1,10,1000,619501.9112,622849.0656,667473.7108,686850.4768,687039.216,686675.3297,680365.0719,687100.8626,664632.4113,674812.9291,678425.9307,664304.6064,677768.0545,9.405321002
100,1,1,100,89148.57439,89148.57437,89148.57439,89148.57439,89148.57439,89148.57439,89148.57439,89148.57439,89148.57439,89148.57439,89148.57439,89148.57439,89148.57439,0
100,1,5,500,438161.2877,441811.2535,666714.6631,741790.1055,737522.8796,730096.6909,734477.2164,727440.3579,684778.2597,703468.2747,669301.8281,690559.9097,708615.0186,61.72469785
100,1,10,1000,656755.1831,659652.6299,814682.6445,828488.887,807352.3523,810676.7713,802115.4858,781990.8773,792939.9165,821919.8523,818049.9308,819440.4506,809765.7168,23.29795602
200,1,1,100,154156.9884,154156.9808,166913.1837,167804.4161,155980.6993,170211.2257,168720.7315,156121.2638,154156.9884,161108.244,167317.1566,167804.4161,163613.8325,6.134554309
200,1,5,500,514341.5781,517468.1909,779025.5031,825083.0931,850139.4759,746502.2867,814224.083,822209.8199,793892.416,780631.0633,873710.0893,817028.8036,810244.6634,57.53046183
200,1,10,1000,696773.1769,702633.9004,1103561.461,1050116.566,1080629.316,1042999.731,1020224.657,1000174.048,938641.7522,1063665.32,1021795.481,1050404.924,1037221.326,48.86068523
300,1,1,100,144254.3598,144254.5234,179868.9172,161560.1919,164271.0812,155328.3176,175533.0905,173035.7709,173085.8395,171754.5189,173403.3626,172863.693,170070.4783,17.89624835
300,1,5,500,402271.3682,407217.5858,737371.6622,762833.9295,763120.0272,743907.2856,688181.6938,689692.414,701946.1721,706374.6387,780136.8977,729341.446,730290.6167,81.54178358
300,1,10,1000,698477.7969,701450.6832,997748.0102,1022743.215,1034996.612,979510.9415,1081352.279,1038723.122,1097495.655,968711.283,1082064.038,984204.4957,1028754.965,47.28527804
400,1,1,100,133713.9381,134019.8779,163503.2723,135115.3377,147020.4121,143646.9437,133713.9381,153982.6536,142476.0911,154729.4845,134809.6115,163808.4687,147280.6213,10.14605013
400,1,5,500,447391.4576,449515.037,882652.0713,899305.5087,890480.2096,809012.709,849286.6557,874589.5499,870791.4369,910458.1131,836257.8399,834558.0728,865739.2167,93.50821344
400,1,10,1000,891070.353,893438.1964,1844413.928,1849431.59,1816877.012,1791396.985,1825259.217,1817117.411,1853451.647,1844694.097,1813724.868,1847740.888,1830410.764,105.4170872
