EXPERIMENTAL RESULTS OUTPUT,24/04/2022 14:07:01,,,,,,,,,,,,,,,,
Num. Nodes,Num. Parallel Edges,Num. Src/Sinks,Min. Target Flow,Optimal MILP Value,Relaxed LP Value,ACO 1,ACO 2,ACO 3,ACO 4,ACO 5,ACO 6,ACO 7,ACO 8,ACO 9,ACO 10,Avg. ACO Value,Optimality Gap
25,1,1,100,110886.6505,110886.7712,121376.1268,121376.1268,121376.1268,110886.6505,121376.1268,121376.1268,121376.1268,121376.1268,110886.6505,121376.1268,119278.2315,7.567710769
25,1,5,500,327320.3857,333366.7278,358325.1446,352491.6069,350613.2427,353595.1479,357919.5898,352204.7342,355100.6697,358987.7346,355976.3669,356321.3471,355153.5584,8.503342284
25,1,10,1000,581789.5392,595545.33,615706.0303,608917.4141,618455.8991,616313.5937,610027.0708,609218.6264,620278.9361,614667.1861,612573.0757,620148.01,614630.5842,5.644832512
50,1,1,100,132254.2994,132254.2994,147151.5982,147438.1597,137997.4836,147593.3011,147438.1597,137997.4836,145681.8042,138766.2392,147593.3011,143397.0249,144105.4555,8.960885339
50,1,5,500,392659.4467,392659.6284,459828.3113,468027.3856,464597.0089,463103.6158,479358.114,464100.3427,452700.3115,445757.7594,468233.6559,474970.6859,464067.7191,18.18580273
50,1,10,1000,646120.7048,646658.4413,736054.4258,722119.3147,735841.3046,729525.6806,729457.2836,733672.1513,734832.1392,729254.6092,721986.0667,732991.0131,730573.3989,13.07073019
100,1,1,100,127751.5543,127751.5539,142631.089,141560.6339,141560.6339,153613.4454,152513.9785,142631.089,141560.6339,141560.6339,141560.6339,134407.8772,143360.0649,12.21786352
100,1,5,500,412916.0091,413546.2013,574090.0008,580347.9879,598946.2968,538297.3144,557841.8635,584062.0704,600326.5148,575204.1455,578724.7543,570755.6894,575859.6638,39.46169463
100,1,10,1000,733459.4042,738421.5554,1005816.944,968710.5024,987582.8319,1051024.732,970098.6543,1083573.139,979000.5441,1051662.666,1023107.787,1028820.346,1014939.815,38.37709474
500,1,1,100,188994.4437,188994.1162,236069.3218,225910.4215,241759.3013,222677.8359,234225.4157,222202.2004,234506.8929,231913.4064,221382.473,240669.678,231131.6947,22.29549726
