Tuning Experiment Output,20/04/2022 02:24:39
Network,medium
Min Target Flow,700
Exact Cost,573182.8395708431
Relaxed Cost,578345.4805457174
TUNING EXPERIMENT OUTPUT
Num. Ants,Initial Pheromone,Evap. Rate,Alpha,Beta,Q,Best Cost
10,1,0.05,1,1,1,771490.8921611472
10,1,0.05,1,1,5,865182.0444741885
10,1,0.05,1,5,1,834842.550637528
10,1,0.05,1,5,5,808598.5253039463
10,1,0.05,3,1,1,768094.0835878262
10,1,0.05,3,1,5,829028.5372714722
10,1,0.05,3,5,1,820369.9094870798
10,1,0.05,3,5,5,778091.5242427381
10,1,0.1,1,1,1,788143.6892481036
10,1,0.1,1,1,5,745965.3985306268
10,1,0.1,1,5,1,753571.3443464598
10,1,0.1,1,5,5,756608.8420955112
10,1,0.1,3,1,1,783319.3369476103
10,1,0.1,3,1,5,722839.081787196
10,1,0.1,3,5,1,800330.3505030441
10,1,0.1,3,5,5,792620.8306702593
10,1,0.5,1,1,1,843232.4487320019
10,1,0.5,1,1,5,768895.3656755703
10,1,0.5,1,5,1,833619.3939764745
10,1,0.5,1,5,5,815657.0979236808
10,1,0.5,3,1,1,817844.7085018527
10,1,0.5,3,1,5,848345.1291727618
10,1,0.5,3,5,1,843572.2824822924
10,1,0.5,3,5,5,818762.5990138395
10,1000000,0.05,1,1,1,832076.6437929195
10,1000000,0.05,1,1,5,854500.2969004081
10,1000000,0.05,1,5,1,754297.8857270589
10,1000000,0.05,1,5,5,771275.8148991932
10,1000000,0.05,3,1,1,808511.809312637
10,1000000,0.05,3,1,5,817742.8688638402
10,1000000,0.05,3,5,1,812453.0699726697
10,1000000,0.05,3,5,5,717338.1474843452
10,1000000,0.1,1,1,1,821158.0139770046
10,1000000,0.1,1,1,5,777692.7020833456
10,1000000,0.1,1,5,1,802817.6260260879
10,1000000,0.1,1,5,5,813135.1649569783
10,1000000,0.1,3,1,1,831098.8277326896
10,1000000,0.1,3,1,5,842136.981965984
10,1000000,0.1,3,5,1,799210.5829700698
10,1000000,0.1,3,5,5,705619.0323579332
10,1000000,0.5,1,1,1,757823.6482729838
10,1000000,0.5,1,1,5,792376.7026180418
10,1000000,0.5,1,5,1,758993.4540747368
10,1000000,0.5,1,5,5,730082.0762355009
10,1000000,0.5,3,1,1,803910.366413771
10,1000000,0.5,3,1,5,866248.6323705256
10,1000000,0.5,3,5,1,832622.9309935862
10,1000000,0.5,3,5,5,841547.2777304767
25,1,0.05,1,1,1,767273.3335219417
25,1,0.05,1,1,5,760768.4217023057
25,1,0.05,1,5,1,756454.0582953494
25,1,0.05,1,5,5,735549.6941389226
25,1,0.05,3,1,1,755896.2611611224
25,1,0.05,3,1,5,765210.011863182
25,1,0.05,3,5,1,757031.2863722037
25,1,0.05,3,5,5,739479.636088892
25,1,0.1,1,1,1,759402.8364459577
25,1,0.1,1,1,5,756279.6475362694
25,1,0.1,1,5,1,796377.5379371153
25,1,0.1,1,5,5,782901.9029563074
25,1,0.1,3,1,1,748737.5275685847
25,1,0.1,3,1,5,784173.463888061
25,1,0.1,3,5,1,768735.2193449062
25,1,0.1,3,5,5,800055.2445519604
25,1,0.5,1,1,1,732786.9870962504
25,1,0.5,1,1,5,766914.1929486406
25,1,0.5,1,5,1,768806.8790206021
25,1,0.5,1,5,5,810906.7999319801
25,1,0.5,3,1,1,702525.5105891768
25,1,0.5,3,1,5,768456.2172396164
25,1,0.5,3,5,1,778818.4739677772
25,1,0.5,3,5,5,799934.0967991904
25,1000000,0.05,1,1,1,741221.629852834
25,1000000,0.05,1,1,5,781118.866928085
25,1000000,0.05,1,5,1,748920.3186631171
25,1000000,0.05,1,5,5,792332.9490337694
25,1000000,0.05,3,1,1,776165.318387242
25,1000000,0.05,3,1,5,738220.8666167522
25,1000000,0.05,3,5,1,775059.1784095065
25,1000000,0.05,3,5,5,806958.5599689814
25,1000000,0.1,1,1,1,748943.5420506126
25,1000000,0.1,1,1,5,746318.4818557206
25,1000000,0.1,1,5,1,788432.1905322211
25,1000000,0.1,1,5,5,817374.8714937719
25,1000000,0.1,3,1,1,745322.8063110118
25,1000000,0.1,3,1,5,712239.7155904452
25,1000000,0.1,3,5,1,794061.609643277
25,1000000,0.1,3,5,5,735783.8492551491
25,1000000,0.5,1,1,1,796265.8690115624
25,1000000,0.5,1,1,5,772533.7223968442
25,1000000,0.5,1,5,1,736996.8048388601
25,1000000,0.5,1,5,5,810082.5004634812
25,1000000,0.5,3,1,1,744416.3535677624
25,1000000,0.5,3,1,5,772687.9953935777
25,1000000,0.5,3,5,1,793484.1224995131
25,1000000,0.5,3,5,5,814807.2230764284
